datetime;username;content
2022-10-15 21:25:31+00:00;joko_wijongos;@Pencerah___ Anies memang hebat disaat mau beres menjabat masih sempat2nya bersedia nemuin segelintir bani taikers wuahahaks.. pokoknya 2024 prabowo yg bakal jadi presiden, kalo anies jadi gubernur lagi di ibukota baru IKN sedangkan ganjar jadi gubernur j
2022-10-15 21:24:36+00:00;Daniella1__;@GanjaranApp Mantap pak ganjar selalu memberikan penghormatan
2022-10-15 21:24:02+00:00;Pamelia1_;@GanjaranApp The best pokoknya pak ganjar itu
2022-10-15 21:23:35+00:00;Tessa1__;@GanjaranApp Semangat pokoknya Pak ganjar
2022-10-15 21:23:12+00:00;Leigha1_;@GanjaranApp Semangat pak ganjar tolak beras impor
2022-10-15 21:22:16+00:00;Mihawkykn;@GanjaranApp Mantap Pak ganjar emang peduli petani
2022-10-15 21:22:03+00:00;getih_gen1;@Wongkuno2B Ganjar terlalu kesima nonton bokepnya sampai lupa kalo Semarang masih Jawa Tengah
2022-10-15 21:20:54+00:00;Sampit_id;Srikandi Ganjar Ingin Perempuan Kalteng Mandiri dan Pintar Merawat Diri https://t.co/rJPupN45A3
2022-10-15 21:19:00+00:00;Pamelia1_;@GanjaranApp Emang cuma pak ganjar sih terbaik
2022-10-15 21:18:37+00:00;Tessa1__;@GanjaranApp Mantap deh pak ganjar terbaik sih
2022-10-15 21:18:12+00:00;Leigha1_;@GanjaranApp Pokoknya pak ganjar terbaik deh
2022-10-15 21:15:55+00:00;VillianIyux;@detikcom Mantaf PDIP apa lagi klo mencapreskan ganjar makin josss
2022-10-15 21:12:27+00:00;tjandra_alwi;Dalam demokrasi usul spt ini biasa..anda bantah juga gpp!! Yg penting pak Ganjar penerus pak Jokowi..cukup jakarta yg rusak jangan Indonesia!! https://t.co/PhUtbwRlmu
2022-10-15 21:10:57+00:00;Georgeni1_;@GanjaranApp Percaya deh sama pak ganjar pokoknya
2022-10-15 21:02:31+00:00;Rizal98424059;@motekar84 @PakdeAgustinus @Dennysiregar7 Benar sekali bro. Gubernur tanpa prestasi Ganjar Pranowo ambisi mau jadi presiden
2022-10-15 21:01:27+00:00;_rakyatjelata;@OposisiCerdas @Giring_Ganesha partai mu gak punya kursi diparlemen, ngapain luu deklarasikan pak Ganjar segala, pak Ganjar ya gak mau PSI itu gak ada pengaruhnya apa2, beda sama Nasdem, luu lama2 ky orang stres...
2022-10-15 21:01:06+00:00;Rizal98424059;@PakdeAgustinus @Paviliun0231 @Dennysiregar7 Pantesan penggemar lendir kayak dek bokep Ganjar
2022-10-15 20:54:30+00:00;joko_wijongos;@agussusilo789 @RafliPadang @Ameeranti Iya betul sama kayak si ahok dan si ganjar.. kalo mau yg jauh dari oligarki maka pilihlah gatot nurmantyo cuma resiko nya begundal2 pki karbitan bakal dibinasakan supaya bangsa ini bersih dari sampah2
2022-10-15 20:45:38+00:00;Mutiara33816254;@FirzaHusain Pendukung Ganjar bisa Ndak bisa sebutkan prestasi Ganjar? Silahkan dukung Ganjar tapi TDK usahain diwilayah sara ya. Dilarang UU!!!!
2022-10-15 20:43:19+00:00;Mutiara33816254;@Tita83079013 Tidak laku kampanyemu. Zamannya jual gagasan /ide. Kalau mau jual Ganjar silahkan tapi TDK usah main sara!
2022-10-15 20:35:27+00:00;Lulu081180;@hipohan Tapi bisa jadi ini adalah strategi mereka untuk menarik simpati pendukung Ganjar supaya beralih ke psi untuk mendongkrak elektabilitas partainya 🤔
2022-10-15 20:33:25+00:00;SINDOnews;Banyak Program Pengembangan Pendidikan di Pesantren, Ganjar Didukung Santri Sumut Presiden 2024
2022-10-15 20:24:03+00:00;oncomsunda81;@psi_id Ganjar - Giring jadi nya GaRing
2022-10-15 20:20:01+00:00;WartaEkonomi;PDIP Benar-benar Kalah Telak! Setelah Nasdem Usung Anies, PAN Kini Deklarasikan Ganjar Sebagai Capres 2024 https://t.co/AjSwqNTX0F
2022-10-15 20:19:09+00:00;alasleuser;Maa, af Pak ganjar yaa... m
2022-10-15 20:18:18+00:00;Suharto91638148;@ChusnulCh__ @ganjarpranowo Semua takut karena Anis Uda dideklarasikan oleh partai..sedang Ganjar dideklarasikan oleh orang nggak punya partai..masuk akal nggak ya.. prestasi Ganjar sama Anis jauhlah.. https://t.co/TCWl30EFv4
2022-10-15 20:17:24+00:00;OnFucker;@arifin34533 Mendingan gak punya prestasi daripada punya prestasi seperti ganjar pranowo ditambah lagi agama juga gk punya . https://t.co/ryYpiKgJ25
2022-10-15 20:12:12+00:00;Karinbahary2;@kangdede78 @aniesbaswedan Bacot Mulu eluh kaya banci. Kalo menurut eluh Ganjar lebih baik lebih hebat. Kenapa gak fokus sma dia aja. Gak usah menjatuhkan lawan. Perpolitik secara sehat lah
2022-10-15 20:10:05+00:00;NurulmaulidaMa1;@ganjarpranowo pak saya minta perlindungan dan keamanan pak menyangkut materil... Karena terjerat pinjol pak.. Sekarang ditambah ditipu berjedok joki pinjol pak.. Pak saya hanya rakyat kecil yg sedang menderita pak... Tolongpak ganjar
2022-10-15 20:09:58+00:00;Mas_Broo80;@febridiansyah Ganjar - Mahfud MD
2022-10-15 20:08:02+00:00;zulhier;Selain saya kesal sama lesti karna KDRT. saya jga kesal sama pendukung Ganjar dan Puan. Mereka serang pak anies baswedan. Dari kiri kanan. Atas bawah. Karna prestasi nya yg begitu banyak. tapi mereka gak ngaca kalau pilihan mereka itu gak punya prestasi apapun. Mikir dong kalian
2022-10-15 19:57:27+00:00;AnsyariAli1;@BosPurwa @msaid_didu @psi_id Sadis jg Ganjar menghina PSI.
2022-10-15 19:47:58+00:00;detikcom;Ganjar dinilai sebagai sosok yang banyak disukai para kader PPP lantaran memiliki sikap tegas terhadap penyelewengan. https://t.co/BGUGLwk7S1
2022-10-15 19:36:15+00:00;jawapos;Banyak Program Pengembangan Pendidikan Di Pesantren, Ratusan Santri Sumut Dukung Ganjar Jadi Presiden 2024  https://t.co/Ny6yO9lFht
2022-10-15 19:32:02+00:00;OnFucker;@Candra4smara Pendukung ganjar pranowo bau komunis . https://t.co/5Nm4diw0bO
2022-10-15 19:30:47+00:00;bendacair12;Tegas!! Jiwa nasionalis dan anti korupsi dari pak Jokowi adalah berkah yang dimiliki oleh bangsa Indonesia yang akann diteruskan tentunya oleh sang Ganjar Pranowo
